geometry,geometry_vertex_count,GMDE,BEZIRK,KT,Gemeinde,import_notes
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.50327835646,47.2626669179,0 8.5017973934,47.262626608,0 8.48298806813,47.2597487666,0 8.47349083242,47.2647464612,0 8.47789383991,47.270284619,0 8.47331374591,47.2753907764,0 8.47241596313,47.2856906648,0 8.47838864523,47.2902700903,0 8.48335062981,47.2897754323,0 8.48635961497,47.2935266048,0 8.50790530074,47.2871663454,0 8.51212606036,47.2807396808,0 8.50505991273,47.2744537776,0 8.50327835646,47.2626669179,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,1,101,1,Aeugst am Albis,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.4302260871,47.3020295039,0 8.43364539644,47.2974479584,0 8.45186457074,47.2902812497,0 8.46194008647,47.2944205634,0 8.4778614046,47.2944311506,0 8.47838864523,47.2902700903,0 8.47241596313,47.2856906648,0 8.47331374591,47.2753907764,0 8.47789383991,47.270284619,0 8.47349083242,47.2647464612,0 8.46546844466,47.2647372316,0 8.45479150583,47.269689878,0 8.44613348548,47.267552761,0 8.43709245735,47.275998002,0 8.43972694342,47.2783231989,0 8.43691427223,47.2813163651,0 8.42829873473,47.2793934478,0 8.41577310976,47.2949288512,0 8.4302260871,47.3020295039,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",19,2,101,1,Affoltern am Albis,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.48389160539,47.2984969835,0 8.44234784818,47.3171912987,0 8.45521054044,47.3361506809,0 8.45633574233,47.336167755,0 8.4614012654,47.3318677795,0 8.46680961031,47.3337269285,0 8.46675113046,47.329319301,0 8.47827968802,47.3288112013,0 8.48498292036,47.3251611177,0 8.48453001779,47.3175813637,0 8.49303768784,47.3136265312,0 8.48322692451,47.3111608197,0 8.48389160539,47.2984969835,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,3,101,1,Bonstetten,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.52345698171,47.2391508259,0 8.51550102577,47.2389735572,0 8.51484645882,47.2543547042,0 8.50327835646,47.2626669179,0 8.50505991273,47.2744537776,0 8.53298303978,47.2676156933,0 8.53657491445,47.2623185881,0 8.54877664142,47.2491387413,0 8.55848689794,47.2440516864,0 8.5707994572,47.2284481766,0 8.58106179575,47.2228948746,0 8.57829375756,47.2200433633,0 8.57544526526,47.2183621479,0 8.5445576805,47.2234041088,0 8.53242051828,47.235629396,0 8.52345698171,47.2391508259,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",16,4,101,1,Hausen am Albis,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.4302260871,47.3020295039,0 8.42962683689,47.3025204502,0 8.43733577297,47.316578061,0 8.44234784818,47.3171912987,0 8.48389160539,47.2984969835,0 8.4778614046,47.2944311506,0 8.46194008647,47.2944205634,0 8.45186457074,47.2902812497,0 8.43364539644,47.2974479584,0 8.4302260871,47.3020295039,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,5,101,1,Hedingen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.48664348812,47.2197442282,0 8.49268326515,47.2280378905,0 8.48498578343,47.2389488387,0 8.51398391403,47.2305399811,0 8.51266240237,47.235104557,0 8.524363326,47.2369471322,0 8.52345698171,47.2391508259,0 8.53242051828,47.235629396,0 8.5445576805,47.2234041088,0 8.54047160391,47.2244238988,0 8.52993340282,47.2199179707,0 8.51368161378,47.2207635472,0 8.51273178764,47.2168678976,0 8.49956367769,47.2133733366,0 8.49024443065,47.2121543121,0 8.48664348812,47.2197442282,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",16,6,101,1,Kappel am Albis,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.4810383253,47.2099438928,0 8.44894791956,47.2213945288,0 8.44782245591,47.2247330856,0 8.43902218588,47.2449348395,0 8.46831352943,47.2333862841,0 8.48664348812,47.2197442282,0 8.49024443065,47.2121543121,0 8.4810383253,47.2099438928,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,7,101,1,Knonau,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.43632184046,47.2488986676,0 8.43902218588,47.2449348395,0 8.44782245591,47.2247330856,0 8.42279574835,47.2246797249,0 8.41812567943,47.2350384016,0 8.41508500205,47.2450142002,0 8.41590250258,47.2470944263,0 8.43632184046,47.2488986676,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,8,101,1,Maschwanden,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.48664348812,47.2197442282,0 8.46831352943,47.2333862841,0 8.43902218588,47.2449348395,0 8.43632184046,47.2488986676,0 8.43345643354,47.2610505371,0 8.44613348548,47.267552761,0 8.45479150583,47.269689878,0 8.46546844466,47.2647372316,0 8.47349083242,47.2647464612,0 8.48298806813,47.2597487666,0 8.5017973934,47.262626608,0 8.50035382792,47.2584835527,0 8.48851030315,47.2529422717,0 8.48577039702,47.2553962382,0 8.47341317652,47.2539154768,0 8.48498578343,47.2389488387,0 8.49268326515,47.2280378905,0 8.48664348812,47.2197442282,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",18,9,101,1,Mettmenstetten,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.40254042053,47.2695178139,0 8.42893413044,47.2744490217,0 8.42829873473,47.2793934478,0 8.43691427223,47.2813163651,0 8.43972694342,47.2783231989,0 8.43709245735,47.275998002,0 8.44613348548,47.267552761,0 8.43345643354,47.2610505371,0 8.43632184046,47.2488986676,0 8.41590250258,47.2470944263,0 8.41508500205,47.2450142002,0 8.41116775991,47.2497254272,0 8.40413770542,47.2584389988,0 8.40254042053,47.2695178139,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,10,101,1,Obfelden,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.38973904698,47.2913860303,0 8.41577310976,47.2949288512,0 8.42829873473,47.2793934478,0 8.42893413044,47.2744490217,0 8.40254042053,47.2695178139,0 8.40316345576,47.2740107439,0 8.39273017005,47.2878438049,0 8.38973904698,47.2913860303,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,11,101,1,Ottenbach,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.50327835646,47.2626669179,0 8.51484645882,47.2543547042,0 8.51550102577,47.2389735572,0 8.52345698171,47.2391508259,0 8.524363326,47.2369471322,0 8.51266240237,47.235104557,0 8.51398391403,47.2305399811,0 8.48498578343,47.2389488387,0 8.47341317652,47.2539154768,0 8.48577039702,47.2553962382,0 8.48851030315,47.2529422717,0 8.50035382792,47.2584835527,0 8.5017973934,47.262626608,0 8.50327835646,47.2626669179,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,12,101,1,Rifferswil,
